"","Player","Team","Final Season","Class","Final Year out of HS","PPR Points","PPR Points per Game","Draft Pick Overall","Top 5 Finishes","Top 12 Finishes","Top 24 Finishes","Avg PPR PPG Seasons 1-3"
"1","Caleb Williams","USC",2023,2024,3,331.8667,26.5,NA,0,0,0,0
"2","Tua Tagovailoa","Alabama",2019,2020,3,235.2,21.1333,5,0,0,1,13.8
"3","Justin Fields","Ohio State",2020,2021,3,231.7667,20.9333,11,0,0,0,10.6
"4","C.J. Stroud","Ohio State",2022,2023,3,218.8333,20.8667,2,0,0,0,0
"5","Jameis Winston","Florida State",2014,2015,3,197.6667,21.85,1,0,1,5,16.3
"6","Shea Patterson","Michigan",2019,2020,4,162.3,19.25,NA,0,0,0,0
"7","Spencer Rattler","South Carolina",2023,2024,5,160.38,14.68,NA,0,0,0,0
"8","Cade Klubnik","Clemson",2023,2025,2,132.35,10.85,NA,0,0,0,0
"9","Jeff Driskel","Louisiana Tech",2015,2016,5,124.48,12.18,207,0,0,0,8.9
"10","Tanner Mangum","BYU",2018,2019,7,91.275,9.75,NA,0,0,0,0
"11","Sean White","Auburn",2016,2017,3,55.8667,8.8,NA,0,0,0,0
"12","Blake Barnett","South Florida",2019,2020,5,51.9,8.075,NA,0,0,0,0
"13","Jackson Arnold","Oklahoma",2023,2026,1,48.1,8,NA,0,0,0,0
"14","Neal Burcham","SMU",2014,2015,3,4.7,1.55,NA,0,0,0,0
