Player,Team,Season,Class,Year out of HS,Year Played,Games Played,Fantasy Points,Points per Game,Draft Pick Overall
Kyler Murray,Oklahoma,2018,2019,4,4,14,496.7,35.5,1
Deshaun Watson,Clemson,2015,2017,2,2,15,460.7,30.7,12
Deshaun Watson,Clemson,2016,2017,3,3,15,426.6,28.4,12
Dwayne Haskins,Ohio State,2018,2019,3,3,14,400.8,28.6,15
Trevor Lawrence,Clemson,2019,2021,2,2,15,383.9,25.6,1
Bryce Young,Alabama,2021,2023,2,2,15,380.9,25.4,1
Jared Goff,California,2015,2016,3,3,13,336.1,25.9,1
Bryce Young,Alabama,2022,2023,3,3,12,293.6,24.5,1
Teddy Bridgewater,Louisville,2013,2014,3,3,13,288.6,22.2,32
Jared Goff,California,2014,2016,2,2,12,280.5,23.4,1
Trevor Lawrence,Clemson,2020,2021,3,3,10,276.2,27.6,1
Trevor Lawrence,Clemson,2018,2021,1,1,15,260.7,17.4,1
Teddy Bridgewater,Louisville,2012,2014,2,2,13,248.7,19.1,32
Josh Rosen,UCLA,2015,2018,1,1,13,230.3,17.7,10
Josh Rosen,UCLA,2017,2018,3,3,11,229,20.8,10
Jared Goff,California,2013,2016,1,1,12,193,16.1,1
Deshaun Watson,Clemson,2014,2017,1,1,8,160.6,20.1,12
Teddy Bridgewater,Louisville,2011,2014,1,1,13,147.8,11.4,32
Josh Rosen,UCLA,2016,2018,2,2,6,107.4,17.9,10
Kyler Murray,Oklahoma,2015,2019,1,1,8,72.9,9.1,1
Dwayne Haskins,Ohio State,2017,2019,2,2,8,41.2,5.2,15
Kyler Murray,Oklahoma,2017,2019,3,3,7,40.6,5.8,1
Bryce Young,Alabama,2020,2023,1,1,7,3.9,0.6,1
Kyler Murray,Oklahoma,2016,2019,2,2,NA,0,NA,1
Dwayne Haskins,Ohio State,2016,2019,1,1,NA,0,NA,15
Drew Lock,Missouri,2017,2019,3,3,13,317.7,24.4,42
Drew Lock,Missouri,2018,2019,4,4,13,285.4,22,42
Drew Lock,Missouri,2016,2019,2,2,12,231.4,19.3,42
Christian Hackenberg,Penn State,2013,2016,1,1,12,195.4,16.3,51
Christian Hackenberg,Penn State,2015,2016,3,3,13,165.4,12.7,51
Christian Hackenberg,Penn State,2014,2016,2,2,13,127.7,9.8,51
Drew Lock,Missouri,2015,2019,1,1,12,62.1,5.2,42
Matt Corral,Ole Miss,2021,2022,4,4,13,330.3,25.4,94
Cody Kessler,USC,2014,2016,4,4,13,295.8,22.8,93
Matt Corral,Ole Miss,2020,2022,3,3,10,291.7,29.2,94
Will Grier,West Virginia,2018,2019,5,5,11,287.1,26.1,100
Will Grier,West Virginia,2017,2019,4,4,11,271.8,24.7,100
Cody Kessler,USC,2015,2016,5,5,14,252.5,18,93
Cody Kessler,USC,2013,2016,3,3,14,178.3,12.7,93
Will Grier,West Virginia,2015,2019,2,2,6,105.8,17.6,100
Matt Corral,Ole Miss,2019,2022,2,2,10,88,8.8,94
Matt Corral,Ole Miss,2018,2022,1,1,4,35.9,9,94
Cody Kessler,USC,2012,2016,2,2,1,0.4,0.4,93
Will Grier,West Virginia,2016,2019,3,3,NA,0,NA,100
Will Grier,West Virginia,2014,2019,1,1,NA,0,NA,100
Cody Kessler,USC,2011,2016,1,1,NA,0,NA,93
Joshua Dobbs,Tennessee,2016,2017,4,4,13,356.3,27.4,135
Joshua Dobbs,Tennessee,2015,2017,3,3,13,287.5,22.1,135
Joshua Dobbs,Tennessee,2014,2017,2,2,6,167.1,27.9,135
Joshua Dobbs,Tennessee,2013,2017,1,1,5,48.7,9.7,135
Dorian Thompson-Robinson,UCLA,2022,2023,5,5,13,344.8,26.5,140
Sam Howell,North Carolina,2021,2022,3,3,12,341,28.4,144
Sam Howell,North Carolina,2019,2022,1,1,13,300.4,23.1,144
Sam Howell,North Carolina,2020,2022,2,2,12,299.1,24.9,144
Dorian Thompson-Robinson,UCLA,2021,2023,4,4,11,281.3,25.6,140
Sean Clifford,Penn State,2019,2023,3,2,12,252.4,21,149
Sean Clifford,Penn State,2022,2023,6,5,13,245.8,18.9,149
Sean Clifford,Penn State,2021,2023,5,4,13,218.6,16.8,149
Dorian Thompson-Robinson,UCLA,2019,2023,2,2,11,197.8,18,140
Sean Clifford,Penn State,2020,2023,4,3,9,166.6,18.5,149
Dorian Thompson-Robinson,UCLA,2020,2023,3,3,5,131.4,26.3,140
Dorian Thompson-Robinson,UCLA,2018,2023,1,1,7,66.7,9.5,140
Sean Clifford,Penn State,2018,2023,2,1,4,16.5,4.1,149
Sam Ehlinger,Texas,2018,2021,2,2,14,374.1,26.7,218
Sam Ehlinger,Texas,2019,2021,3,3,13,366.2,28.2,218
Sam Ehlinger,Texas,2020,2021,4,4,10,282.4,28.2,218
Sam Ehlinger,Texas,2017,2021,1,1,9,160.1,17.8,218
Tanner McKee,Stanford,2021,2023,4,2,10,157.9,15.8,188
Tanner McKee,Stanford,2022,2023,5,3,12,152.9,12.7,188
Tanner McKee,Stanford,2020,2023,3,1,1,2.5,2.5,188
Chad Kelly,Ole Miss,2015,2017,4,5,13,369.7,28.4,253
Chad Kelly,Ole Miss,2015,2017,4,6,13,369.7,28.4,253
Max Duggan,TCU,2022,2023,4,4,15,355.3,23.7,239
Chad Kelly,Ole Miss,2016,2017,5,7,9,227.5,25.3,253
Chad Kelly,Ole Miss,2016,2017,5,8,9,227.5,25.3,253
Max Duggan,TCU,2019,2023,1,1,12,210.6,17.5,239
Max Duggan,TCU,2020,2023,2,2,10,208.3,20.8,239
Max Duggan,TCU,2021,2023,3,3,10,183.1,18.3,239
Chad Kelly,Ole Miss,2013,2017,2,3,5,20,4,253
Chad Kelly,Ole Miss,2013,2017,2,4,5,20,4,253
Chad Kelly,Ole Miss,2012,2017,1,1,NA,0,NA,253
Chad Kelly,Ole Miss,2012,2017,1,2,NA,0,NA,253
Jayden Daniels,LSU,2023,2024,5,5,12,475.9,39.7,NA
Bo Nix,Oregon,2023,2024,5,5,14,413.7,29.6,NA
Drake Maye,North Carolina,2022,2024,2,2,14,412.7,29.5,NA
Kaidon Salter,Liberty,2023,2024,3,3,14,403.9,28.9,NA
