Player,Team,Season,Fantasy Points,Points per Game,Draft Pick Overall
Kyler Murray,Oklahoma,2018,496.7,35.5,1
Jayden Daniels,LSU,2023,475.9,39.7,NA
Deshaun Watson,Clemson,2015,460.7,30.7,12
Bo Nix,Oregon,2023,413.7,29.6,NA
Drake Maye,North Carolina,2022,412.7,29.5,NA
Kaidon Salter,Liberty,2023,403.9,28.9,NA
Dwayne Haskins,Ohio State,2018,400.8,28.6,15
Trevor Lawrence,Clemson,2019,383.9,25.6,1
Bryce Young,Alabama,2021,380.9,25.4,1
Sam Ehlinger,Texas,2018,374.1,26.7,218
Chad Kelly,Ole Miss,2015,369.7,28.4,253
Chad Kelly,Ole Miss,2015,369.7,28.4,253
Joshua Dobbs,Tennessee,2016,356.3,27.4,135
Max Duggan,TCU,2022,355.3,23.7,239
Dorian Thompson-Robinson,UCLA,2022,344.8,26.5,140
Sam Howell,North Carolina,2021,341,28.4,144
Jared Goff,California,2015,336.1,25.9,1
Matt Corral,Ole Miss,2021,330.3,25.4,94
Haynes King,Georgia Tech,2023,321.4,24.7,NA
Drew Lock,Missouri,2017,317.7,24.4,42
Everett Golson,Florida State,2014,302.1,23.2,NA
Cody Kessler,USC,2014,295.8,22.8,93
Shane Buechele,SMU,2019,295.7,22.7,NA
Teddy Bridgewater,Louisville,2013,288.6,22.2,32
Will Grier,West Virginia,2018,287.1,26.1,100
Brandon Wimbush,UCF,2017,285.2,23.8,NA
Brady White,Memphis,2019,283,20.2,NA
Carson Beck,Georgia,2023,273.2,19.5,NA
Devin Leary,Kentucky,2021,270,22.5,NA
Ben Hicks,Arkansas,2017,259.5,20,NA
David Blough,Purdue,2018,257,19.8,NA
Feleipe Franks,Arkansas,2018,256.5,19.7,NA
Chris Robison,Florida Atlantic,2019,254,18.1,NA
Sean Clifford,Penn State,2019,252.4,21,149
Taulia Tagovailoa,Maryland,2021,252.1,19.4,NA
Quinn Ewers,Texas,2023,252,21,NA
Kyron Drones,Virginia Tech,2023,248.2,19.1,NA
J.J. McCarthy,Michigan,2022,247.4,17.7,NA
Drew Allar,Penn State,2023,245.6,18.9,NA
TJ Finley,Texas State,2023,243.7,18.7,NA
Deondre Francois,Hampton,2016,241.8,18.6,NA
Josh Rosen,UCLA,2015,230.3,17.7,10
Tyler Van Dyke,Miami,2021,214.9,21.5,NA
Jayden Maiava,UNLV,2023,211.1,15.1,NA
Graham Mertz,Florida,2023,200.8,18.3,NA
Kyle McCord,Ohio State,2023,198.3,16.5,NA
Christian Hackenberg,Penn State,2013,195.4,16.3,51
J.W. Walsh,Oklahoma State,2015,195.4,15,NA
Tommy DeVito,Illinois,2022,192.3,14.8,NA
Hunter Dekkers,Iowa State,2022,185.1,15.4,NA
Hudson Card,Purdue,2023,183.8,16.7,NA
Jeff Sims,Nebraska,2020,176.7,17.7,NA
Anthony Russo,Michigan State,2019,176,13.5,NA
Drew Pyne,Arizona State,2022,173.6,15.8,NA
Kyle Allen,Houston,2015,168.4,16.8,NA
Brandon Peters,Illinois,2019,164.7,15,NA
Tanner McKee,Stanford,2021,157.9,15.8,188
Cade McNamara,Iowa,2021,157.6,11.3,NA
Dylan Morris,Washington,2021,143.8,13.1,NA
Zach Calzada,Incarnate Word,2021,140.5,11.7,NA
Chandler Morris,TCU,2023,140,20,NA
Tyler Shough,Texas Tech,2020,136.7,19.5,NA
Jarren Williams,Alabama A&M,2019,136.7,11.4,NA
Jarrett Guarantano,Washington State,2019,135.7,10.4,NA
Austin Appleby,Florida,2014,127.5,12.7,NA
Ryan Hilinski,Northwestern,2019,123.4,11.2,NA
Jacob Park,Iowa State,2016,121.5,12.2,NA
DaMarcus Smith,North Texas,2015,117.1,11.7,NA
Avery Johnson,Kansas State,2023,108,13.5,NA
Ethan Garbers,UCLA,2023,97.6,12.2,NA
Grant Gunnell,Sam Houston State,2019,91,11.4,NA
Conner Weigman,Texas A&M,2023,85.5,21.4,NA
D'Wan Mathis,NA,2021,79.22,11.31714286,NA
Brandon McIlwain,California,2018,79,7.9,NA
Myles Brennan,LSU,2020,76.2,25.4,NA
Dante Moore,UCLA,2023,76.1,8.5,NA
Zack Greenlee,UTEP,2015,74.7,10.7,NA
Kiehl Frazier,NA,2012,72.82,8.091111111,NA
Katin Houser,Michigan State,2023,69.3,6.3,NA
Miller Moss,USC,2023,68.4,17.1,NA
Tyler Buchner,Alabama,2021,67.5,6.8,NA
Johnny Stanton,UNLV,2016,66.1,16.5,NA
Johnny Stanton,UNLV,2016,66.1,16.5,NA
Luke Del Rio,Florida,2016,66,11,NA
Bart Houston,Wisconsin,2016,63.8,5.8,NA
Zach Pyron,Georgia Tech,2022,53.3,17.8,NA
Quincy Patterson II,Temple,2019,52.4,10.5,NA
Luke Doty,South Carolina,2021,50.9,10.2,NA
Luke Rubenzer,NA,2014,48.24,4.824,NA
Max Browne,Pittsburgh,2017,46.5,7.7,NA
Malik Zaire,Florida,2014,45.3,9.1,NA
Garrett Nussmeier,LSU,2023,43.8,7.3,NA
Kendal Thompson,Utah,2014,42.2,6,NA
Kevin Olsen,Charlotte,2016,41.8,7,NA
Tate Martell,UNLV,2018,39.6,6.6,NA
Brian Maurer,Stephen F. Austin,2019,36,4.5,NA
Zach Kline,Fresno State,2016,35.7,5.1,NA
Jack Sears,Boise State,2020,35.1,11.7,NA
Ty Thompson,Oregon,2023,30.7,5.1,NA
Dylan McCaffrey,Northern Colorado,2018,28.9,5.8,NA
Harrison Bailey,Louisville,2020,28.3,4.7,NA
Ty Simpson,Alabama,2023,27.8,5.6,NA
Jeff Lindquist,NA,2014,26.78,3.825714286,NA
Drew Barker,Kentucky,2015,25.1,5,NA
Jacolby Criswell,Arkansas,2021,24,8,NA
Jack Tuttle,Michigan,2020,22.2,7.4,NA
Maalik Murphy,Texas,2023,21.3,3.5,NA
Devin Brown,Ohio State,2023,21,3.5,NA
Tyler Macon,Alcorn State,2021,20.7,6.9,NA
Hunter Johnson,Clemson,2019,20.2,3.4,NA
Malik Henry,Nevada,2019,19.5,6.5,NA
Brock Vandagriff,Georgia,2023,18.5,2.6,NA
Justin Rogers,UNLV,2021,15.6,2.6,NA
Evan Crower,Stanford,2014,11.3,2.3,NA
Shane Cockerille,NA,2015,9.18,1.53,NA
Paul Tyson,Clemson,2021,6,1.2,NA
Cammon Cooper,Hawai'i,2020,5,2.5,NA
J.J. Kohl,Iowa State,2023,4.1,1.4,NA
Walker Howard,Ole Miss,2022,3.6,1.8,NA
Austin Novosad,Oregon,2023,2.1,0.7,NA
Pierce Clarkson,Louisville,2023,0.6,0.6,NA
Ricky Town,NA,2018,0.6,0.6,NA
Kenny Minchey,Notre Dame,2023,0.5,0.5,NA
Ty Evans,Texas State,2021,0.5,0.5,NA
Gerry Bohanon,Baylor,2018,0.3,0.3,NA
Nick Evers,Wisconsin,2023,0,NA,NA
Eli Holstein,Alabama,2023,0,NA,NA
Malachi Nelson,USC,2023,0,0,NA
Malachi Singleton,Arkansas,2023,0,NA,NA
Christopher Vizzina,Clemson,2023,0,NA,NA
Jaxon Smolik,Penn State,2023,0,NA,NA
Nick Evers,Wisconsin,2022,0,0,NA
Luther Richesson,Cincinnati,2022,0,NA,NA
Adam Pittser,NA,NA,0,0,NA
Shane Dillon,NA,NA,0,0,NA
Zeke Pike,NA,NA,0,0,NA
Travis Jonsen,NA,NA,0,0,NA
Chris Parson,Mississippi State,2023,-2.8,-1.4,NA
Kyler Murray,Oklahoma,2019,496.7,35.5,1
Deshaun Watson,Clemson,2017,460.7,30.7,12
Dwayne Haskins,Ohio State,2019,400.8,28.6,15
Trevor Lawrence,Clemson,2021,383.9,25.6,1
Bryce Young,Alabama,2023,380.9,25.4,1
Sam Ehlinger,Texas,2021,374.1,26.7,218
Chad Kelly,Ole Miss,2017,369.7,28.4,253
Joshua Dobbs,Tennessee,2017,356.3,27.4,135
Max Duggan,TCU,2023,355.3,23.7,239
